"","reef.date","biomass","biomass.sd","biomass.ciu","biomass.cil","n","n.sd","n.ciu","n.cil","np","np.sd","np.ciu","np.cil","p","p.sd","p.ciu","p.cil"
"H3_6/22/18","H3_6/22/18",22224.4326257385,5770.63117421763,23355.4555526916,21093.4096987855,10.04071483011,2.13420550886076,10.4590114234074,9.62241823681262,4470.47274537526,711.791091511865,4609.98123576324,4330.96425498729,0.99152430442733,0.230572817796646,1.03671574629686,0.946332862557796
"H5_6/17/18","H5_6/17/18",2921.86877823129,933.806393516569,3104.89146821386,2738.84608824872,1.45090243960203,0.329978042888404,1.51557694757706,1.386227931627,8625.48416868022,688.145570018456,8760.35822201591,8490.61011534452,0.073673218523994,0.0182758106114832,0.0772552115826722,0.0700912254653158
"H2_6/22/18","H2_6/22/18",10404.324987231,3264.55280723693,11044.1655800124,9764.48439444968,5.49495055984757,1.66848501135157,5.82196761294697,5.16793350674817,7628.45579311826,776.900426252671,7780.72547862117,7476.18610761535,0.313383123900147,0.0936061963645109,0.331729601260569,0.295036646539724
"MOW2_5/20/18","MOW2_5/20/18",1956.2866081225,703.43427774214,2094.15719310905,1818.41602313594,1.73307062431698,0.637268498205425,1.85797295481343,1.60816829382052,6403.76011098206,1449.06799706737,6687.77221952222,6119.7480024419,0.118686884455922,0.0387896704515384,0.126289520161641,0.111084248750203
"H8_6/19/18","H8_6/19/18",685.290489442609,232.269039215891,730.814384601296,639.766594283922,0.399497868694277,0.137237338546473,0.426395892782799,0.372599844605755,7246.02401331704,1967.5525774078,7631.65723225786,6860.39079437621,0.024576514951968,0.00775573122397579,0.0260966103392445,0.0230564195646915
"H1_6/15/18","H1_6/15/18",3934.87928441162,2162.72347155992,4358.76529568931,3510.99327313394,2.02028798171925,0.710386671232568,2.15952121079057,1.88105475264794,4000.21487214855,1149.04357557007,4225.42327462699,3775.0064696701,0.236510591282681,0.099913384577045,0.256093254817132,0.21692792774823
"H6_6/17/18","H6_6/17/18",7734.63109969865,3220.58015792981,8365.85321158532,7103.40898781197,3.78090409283586,1.21224064991592,4.01849889427892,3.5433092913928,7215.64146047147,888.037849833932,7389.69368072976,7041.58924021318,0.226343636631219,0.064538245689486,0.238992900348898,0.21369437291354
"LH1_5/24/17","LH1_5/24/17",3605.74483237866,540.82267304036,3711.74412849684,3499.74553626048,2.29344131845695,0.303858337844767,2.35299645831475,2.23388617859916,3531.69223570036,851.432743021081,3698.56998685831,3364.81448454242,0.30000325639653,0.0896245087399915,0.317569337322778,0.282437175470282
"H4_6/22/18","H4_6/22/18",11018.2962081141,4950.07525369982,11988.4931299155,10048.0992863126,5.31908993634836,2.02899024947797,5.71676471774434,4.92141515495239,4072.81977251515,858.16256547938,4241.01654463716,3904.62300039314,0.576029093264734,0.217271359389626,0.618613497192307,0.533444689337161
"LH3_5/27/17","LH3_5/27/17",10201.2087717915,3878.38262258891,10961.3577976456,9441.05974593752,4.67914468074145,1.78408639530612,5.02881918875224,4.32947017273066,8132.62391337493,581.702846865062,8246.63557633093,8018.61225041894,0.245822944940374,0.0850183392577932,0.262486233237442,0.229159656643306
"MOW3_5/20/18","MOW3_5/20/18",2180.84024975975,857.770671200955,2348.96021201462,2012.72028750489,0.598239167311819,0.211710898989531,0.639733741027227,0.556744593596411,6062.80231204023,929.901011252344,6245.05956116443,5880.54506291604,0.0446348474828926,0.0192845177084716,0.0484145434996755,0.0408551514661097
"ES1_5/20/18","ES1_5/20/18",5316.38366192527,1810.01551600575,5671.14018420827,4961.62713964228,1.90842654545666,0.711407398391288,2.04785983337488,1.76899325753843,3314.94458141167,806.720551495858,3473.05890406369,3156.83025875966,0.246994003834454,0.0656699561670901,0.259865078729836,0.234122928939072
"MOW1_5/20/18","MOW1_5/20/18",5383.1219622096,2258.99945817437,5825.87772012132,4940.36620429787,2.35451272093774,0.870852802622654,2.52519673383536,2.18382870804012,5994.4178417496,444.298828118453,6081.49881189815,5907.33687160105,0.173847054274825,0.0690950500022068,0.187389435226257,0.160304673323393
"LH2_5/21/18","LH2_5/21/18",12328.7280011449,4284.1254880689,13168.4011673314,11489.0548349583,5.24693031682913,1.77703021642845,5.59522183919305,4.89863879446521,7396.74638644154,714.391200718122,7536.76448886952,7256.72828401355,0.304924520151108,0.0911555045424896,0.322790670740693,0.287058369561522
