"","reef.date","biomass","biomass.sd","biomass.ciu","biomass.cil","n","n.sd","n.ciu","n.cil","np","np.sd","np.ciu","np.cil","p","p.sd","p.ciu","p.cil"
"H3_6/22/18","H3_6/22/18",22224.4326257385,5770.63117421763,23355.4555526916,21093.4096987855,10.04071483011,2.13420550886076,10.4590114234074,9.62241823681262,4470.47274537526,711.791091511865,4609.98123576324,4330.96425498729,0.99152430442733,0.230572817796646,1.03671574629686,0.946332862557796
"H5_6/17/18","H5_6/17/18",2921.86877823129,933.806393516569,3104.89146821386,2738.84608824872,1.45090243960203,0.329978042888404,1.51557694757706,1.386227931627,8625.48416868022,688.145570018456,8760.35822201591,8490.61011534452,0.073673218523994,0.0182758106114832,0.0772552115826722,0.0700912254653158
"H2_6/22/18","H2_6/22/18",10404.324987231,3264.55280723693,11044.1655800124,9764.48439444968,5.49495055984757,1.66848501135157,5.82196761294697,5.16793350674817,7628.45579311826,776.900426252671,7780.72547862117,7476.18610761535,0.313383123900147,0.0936061963645109,0.331729601260569,0.295036646539724
"H5_6/5/18","H5_6/5/18",4389.9901371352,2382.77606181295,4857.00566357295,3922.97461069744,1.82376150006375,0.868041906411241,1.99389458742751,1.6536284127,7899.1641498466,449.717426248798,7987.30714571337,7811.02115397983,0.0998800597610586,0.0473828246240436,0.109166922735949,0.0905931967861683
"MOW2_5/20/18","MOW2_5/20/18",1956.2866081225,703.43427774214,2094.15719310905,1818.41602313594,1.73307062431698,0.637268498205425,1.85797295481343,1.60816829382052,6403.76011098206,1449.06799706737,6687.77221952222,6119.7480024419,0.118686884455922,0.0387896704515384,0.126289520161641,0.111084248750203
"LH3_5/21/18","LH3_5/21/18",30302.2781111289,11183.6161977935,32494.2266075883,28110.3296146695,11.8888911111547,4.61042513423596,12.7925178328068,10.9852643895026,6888.42523504903,709.951506487958,7027.57317339766,6749.27729670039,0.732312054645239,0.238005469133882,0.778960269407835,0.685663839882642
"MOW2_5/21/17","MOW2_5/21/17",1013.47755022982,364.401513683329,1084.89893450294,942.056165956704,0.676514200714951,0.172358980056314,0.710295940047195,0.642732461382708,7228.98626560997,657.71090645599,7357.89523449926,7100.07729672068,0.0411823239561843,0.0119763697652058,0.0435296492967181,0.0388349986156505
"H8_6/19/18","H8_6/19/18",685.290489442609,232.269039215891,730.814384601296,639.766594283922,0.399497868694277,0.137237338546473,0.426395892782799,0.372599844605755,7246.02401331704,1967.5525774078,7631.65723225786,6860.39079437621,0.024576514951968,0.00775573122397579,0.0260966103392445,0.0230564195646915
"H1_6/15/18","H1_6/15/18",3934.87928441162,2162.72347155992,4358.76529568931,3510.99327313394,2.02028798171925,0.710386671232568,2.15952121079057,1.88105475264794,4000.21487214855,1149.04357557007,4225.42327462699,3775.0064696701,0.236510591282681,0.099913384577045,0.256093254817132,0.21692792774823
"H6_6/17/18","H6_6/17/18",7734.63109969865,3220.58015792981,8365.85321158532,7103.40898781197,3.78090409283586,1.21224064991592,4.01849889427892,3.5433092913928,7215.64146047147,888.037849833932,7389.69368072976,7041.58924021318,0.226343636631219,0.064538245689486,0.238992900348898,0.21369437291354
