"","reef.date","date","reef","ColumnID","sp.gen","tl"
"1","H3_6/22/18","6/22/18","H3","AcanthuridaeAcanthuruscoeruleus","Acanthurus coeruleus",15
"2","H3_6/22/18","6/22/18","H3","AcanthuridaeAcanthuruscoeruleus","Acanthurus coeruleus",6
"3","H3_6/22/18","6/22/18","H3","AcanthuridaeAcanthuruscoeruleus","Acanthurus coeruleus",9
"4","H3_6/22/18","6/22/18","H3","ChaetodontidaeChaetodoncapistratus","Chaetodon capistratus",6
"5","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"6","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"7","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"8","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"9","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"10","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"11","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"12","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"13","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"14","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"15","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"16","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"17","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"18","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"19","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"20","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"21","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"22","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"23","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"24","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"25","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"26","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"27","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"28","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"29","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"30","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"31","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"32","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"33","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"34","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"35","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"36","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"37","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"38","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"39","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"40","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"41","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
"42","H3_6/22/18","6/22/18","H3","HaemulidaeHaemulonflavolineatum","Haemulon flavolineatum",14
