"","reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","Mean.length"
"1","ES1",NA,"0.113429762122656","-0.656530651018697","-0.0350654922859975",NA,NA
"2","ES1","-0.259940069244757","0.105433906801407","-1.28396796871679","-0.0362148675399793",NA,"-6.38259617125249"
"3","ES1","-0.139023767357107","0.00347574321430026","-1.46374780619938","-0.0320880253303858",NA,NA
"4","ES1","-0.13868566536111","0.0807627860162483","-0.524779048948147","-0.0409306043788796",NA,"-6.20293138934733"
"5","ES1","-0.162673413488954","0.0872769380058283","-0.718358867908462","-0.0268316078203605",NA,"-6.2376644133704"
"6","ES1","-0.325534689741528","0.101164930928821","-0.651152889910922","-0.033935272050624",NA,"-6.5871392664743"
"7","ES1","-0.0791507235233875","0.0861106466186581","-1.87527890753423","-0.0199860226427883","0.211217997495393","-7.09851232876069"
"8","ES1","-0.123076893828963","0.0891740727720148","-1.28130442740019","-0.0250675427463673","-0.0325023255809736",NA
"9","ES1","-0.110699020398124","0.169048773461272","-0.651737007443797","-0.0452908564006371",NA,NA
"10","ES1","-0.13750873201601","-0.00651742999390518","-0.341249417421802","-0.0544335485005045","0.493763864889602",NA
"11","H1","0.153406294190439","0.0775397627040293",NA,"-0.0131158580156824",NA,NA
"12","H1","0.0121572522488026",NA,NA,NA,NA,NA
"13","H1","0.0458788223442416","-0.0211270463263579",NA,"-0.00577070240502386",NA,NA
"14","H1",NA,NA,NA,"-0.00934775541546663","0.00777941990240234",NA
"15","H1","-0.0790918886890329",NA,"0.321763089029581","-0.0137911177755278",NA,NA
"16","H1","-0.0729109360957995","-0.0174905985881008",NA,"-0.0177206709712342",NA,NA
"17","H1","0.0399859907794057",NA,NA,"-0.0211225504101733","0.00559373635924579",NA
"18","H1","0.00277899606189127",NA,NA,"-0.0138646432919581",NA,NA
"19","H1",NA,"-0.05495560474994",NA,"-0.0121064145179115",NA,NA
"20","H1","-0.0854315499061862",NA,NA,"-0.0110659520775313",NA,NA
"21","H2","-3.20206813574232","0.00229280710570103","0.273432895861704","-0.00147404533877464",NA,"1.86139317450083"
"22","H2","-3.12458992293771","0.0108683670560646","-0.0250778694898488","-0.0111986137338222","0.0211942707453641","-15.8174307224002"
"23","H2","-1.60355666205955","0.00823670479009812",NA,NA,"-0.0107808181710072",NA
"24","H2","-1.61730116402026","0.0168528372414659","0.199371458851192","-0.00886557484334018",NA,"-13.1499217573225"
"25","H2","-2.9753293650653",NA,NA,"-0.0112881116295644",NA,"-18.2462368260572"
"26","H2","-2.44913273824682",NA,"0.2592125541934","-0.00153156766438236","0.0371740035004","-9.90283415750891"
