"Reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","LAI"
"ES1","-0.304092634016414","0.0617894734259621","-1.6244326284773","-0.0259949143284611","0","201664.845161338"
"ES1","-0.227481243301109","0.0514932114232612","-1.83106515701962","-0.0308977651092589","0","170102.666730071"
"ES1","-0.2057889581096","0.0870449487184715","-1.34571659855121","-0.035399588569695","0","292134.647031121"
"ES1","-0.243523184971705","0.0451656270246304","-1.93085327037189","-0.0307138432389459","0","159318.381487808"
"ES1","-0.260567096719772","0.0690195578628966","-1.63241895232664","-0.0281729175885798","0","196924.300373379"
"ES1","-0.228040605270673","0.0855487628710239","-1.24693940497373","-0.0284126555312961","0","323226.780927259"
"ES1","-0.17901489424115","0.105307796906643","-1.08163257086773","-0.0382492366831785","0","355575.476027429"
"ES1","-0.25802953408853","0.090325054538185","-1.2904995865848","-0.0331997407395597","0","293259.143192421"
"ES1","-0.294241624402099","0.0585340730904435","-1.60519976851272","-0.0297492490722362","0","224807.816186886"
"ES1","-0.238208675338753","0.0751425055619805","-1.38131149626388","-0.0279701427969046","0","279217.458076811"
"H1","0","0","0","-0.0133120443751779","0","0"
"H1","0","0","0","-0.00896921802379282","0","0"
"H1","0","0","0","-0.00657098668943131","0","0"
"H1","0","0","0","-0.00940365293303678","0","0"
"H1","0","0","0","-0.0110796043936569","0","0"
"H1","0","0","0","-0.00951655678698914","0","0"
"H1","0","0","0","-0.00477942587783885","0","0"
"H1","0","0","0","-0.0100254520497677","0","0"
"H1","0","0","0","-0.0103366780953812","0","0"
"H1","0","0","0","-0.00920823690952411","0","0"
"H2","-3.29463145191786","0","0","-0.016129855022612","0","0"
"H2","-3.57438539071481","0","0","-0.0189039841267354","0","0"
"H2","-2.72572150509179","0","0","-0.0119667310513881","0","0"
"H2","-3.72045070470392","0","0","-0.0197589690251041","0","0"
"H2","-3.33056504333241","0","0","-0.0164273781973877","0","0"
"H2","-2.65281769033139","0","0","-0.0134700360983644","0","0"
"H2","-2.29885770949843","0","0","-0.00952503179875932","0","0"
"H2","-2.73392526768237","0","0","-0.0122951837873958","0","0"
"H2","-3.18787654955296","0","0","-0.0149501708992456","0","0"
"H2","-2.88882685615379","0","0","-0.0149776715393618","0","0"
"H3","-1.79447531257601","-0.154196817346179","0","-0.0269248068242334","-0.306920234978912","0"
"H3","-2.10534616276668","-0.231625962109804","0","-0.0304841180066945","-0.32693490123882","0"
"H3","-1.37520855917402","-0.265437830861357","0","-0.0203747742041965","-0.273658924123925","0"
"H3","-2.1936336548138","-0.229612648362296","0","-0.031590745941924","-0.33681635022298","0"
"H3","-1.83261049529331","-0.194758781825992","0","-0.0298182908469694","-0.31153423892458","0"
"H3","-1.49099735486077","-0.199822191749241","0","-0.0205585221505775","-0.264970493811608","0"
"H3","-1.07862970928038","-0.300133733825917","0","-0.0169930479486889","-0.245644141619241","0"
"H3","-1.38329977221636","-0.252808739064964","0","-0.0230605974690801","-0.273344516467417","0"
"H3","-1.65516685309081","-0.176001326187544","0","-0.0248778812729085","-0.301436347152023","0"
"H3","-1.66969182645641","-0.187263792623148","0","-0.0223418728266178","-0.280899233702445","0"
"H4","-0.892251786162457","0","0","-0.0178576251019336","-0.155270271628654","0"
"H4","-0.616910468168296","0","0","-0.0183180969171209","-0.16774988888454","0"
"H4","-0.779393521575149","0","0","-0.0139576695333178","-0.122043724836215","0"
"H4","-0.554369657650084","0","0","-0.0190437321437251","-0.174450423092241","0"
"H4","-0.850774866756697","0","0","-0.0188914289835915","-0.156559744790926","0"
"H4","-0.98823610682648","0","0","-0.0123976065910438","-0.136478824027277","0"
"H4","-0.932794708008596","0","0","-0.0109697172855798","-0.10032508148829","0"
"H4","-1.14385424680656","0","0","-0.0141950274792521","-0.124509496449076","0"
"H4","-0.640740096883169","0","0","-0.0167563220908992","-0.146620898963716","0"
"H4","-0.76713393335126","0","0","-0.0139334179600564","-0.151655955477585","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H6","-0.846071779853955","0","0","-0.0231883428836846","0","0"
"H6","-0.900430967404251","0","0","-0.0256070298044893","0","0"
"H6","-0.542607553251563","0","0","-0.0180768358420994","0","0"
"H6","-0.940293633813399","0","0","-0.0267993678523003","0","0"
"H6","-0.767123196186009","0","0","-0.0234390944804963","0","0"
"H6","-0.593052070564797","0","0","-0.017739596430368","0","0"
"H6","-0.414672694537222","0","0","-0.01447405288975","0","0"
"H6","-0.567202961022008","0","0","-0.0182636128043793","0","0"
"H6","-0.672805242782152","0","0","-0.0227871869525191","0","0"
"H6","-0.66229138932952","0","0","-0.0196712839314914","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"LH1","-1.25441332292285","0","-0.961700919448645","-0.0442437514302094","0","0"
"LH1","-1.37891060271919","0","-0.696992193816244","-0.0472148376341791","0","0"
"LH1","-1.11158927369753","0","-0.984135460260849","-0.0373981307068524","0","0"
"LH1","-1.45717227448725","0","-0.615585247432948","-0.0487540889815211","0","0"
"LH1","-1.2517999660791","0","-1.04195060207919","-0.0433382745868547","0","0"
"LH1","-1.10686540492036","0","-1.17501955485153","-0.0375721066562709","0","0"
"LH1","-0.940610889353602","0","-1.19756759522056","-0.0330943809746347","0","0"
"LH1","-1.05945251381894","0","-1.43384713639076","-0.0374181101158558","0","0"
"LH1","-1.30022904522138","0","-0.782986806500907","-0.0432269184382214","0","0"
"LH1","-1.24702767333411","0","-0.907123686424068","-0.0400568807896975","0","0"
"LH2","-2.08467515229101","-0.204709637784082","0","-0.0424005964414755","0","-852093.852109565"
"LH2","-2.00669642531151","-0.21069707473072","0","-0.0398277536854085","0","-869857.534975441"
"LH2","-1.49592303724391","-0.147015774961247","0","-0.0372255534552792","0","-611327.645981171"
"LH2","-2.08057227299843","-0.220736122146676","0","-0.0408053569071543","0","-912737.828991227"
"LH2","-1.81918852138187","-0.183394180758705","0","-0.0426601471456326","0","-756590.205204849"
"LH2","-1.62845019282593","-0.150906607753585","0","-0.034496254605257","0","-637790.015247072"
"LH2","-1.27823035222276","-0.123061034193201","0","-0.0334187308907518","0","-512553.91372524"
