"Reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","LAI","Seagrass.C13"
"H1","0","0","0","-0.00534590411668254","0","0","0"
"H1","0","0","0","-0.00766208438928354","0","0","0"
"H1","0","0","0","-0.00581506641883843","0","0","0"
"H1","0","0","0","-0.00849334913552412","0","0","0"
"H1","0","0","0","-0.00513344903197037","0","0","0"
"H1","0","0","0","-0.00798158070058374","0","0","0"
"H1","0","0","0","-0.0097538581753261","0","0","0"
"H1","0","0","0",NA,"0","0","0"
"H1","0","0","0","-0.0128758493901379","0","0","0"
"H1","0","0","0","-0.012069920529166","0","0","0"
"H1","0","0","0","-0.0034506487631215","0","0","0"
"H1","0","0","0","-0.00911132323922114","0","0","0"
"H1","0","0","0",NA,"0","0","0"
"H1","0","0","0","-0.00586704795495393","0","0","0"
"H1","0","0","0","-0.00919606485414834","0","0","0"
"H1","0","0","0","-0.0073140661750076","0","0","0"
"H1","0","0","0","-0.00942097503007283","0","0","0"
"H1","0","0","0","-0.0110266260623558","0","0","0"
"H1","0","0","0","-0.00981463347225186","0","0","0"
"H1","0","0","0","-0.0087175892146255","0","0","0"
"H1","0","0","0","-0.00586471676761593","0","0","0"
"H1","0","0","0","-0.00777994875262081","0","0","0"
"H1","0","0","0","-0.00677987222330015","0","0","0"
"H1","0","0","0","-0.00478162497245207","0","0","0"
"H1","0","0","0","-0.00950077750758863","0","0","0"
"H1","0","0","0","-0.00462466945651801","0","0","0"
"H1","0","0","0","-0.00805861864638686","0","0","0"
"H1","0","0","0","-0.00517422437753924","0","0","0"
"H1","0","0","0","-0.00595609184208555","0","0","0"
"H1","0","0","0","-0.00393943845728367","0","0","0"
"H1","0","0","0","-0.0106884624072352","0","0","0"
"H1","0","0","0","-0.00819008592608779","0","0","0"
"H1","0","0","0","-0.00516286361675735","0","0","0"
"H1","0","0","0","-0.00622733662742813","0","0","0"
"H1","0","0","0","-0.00634950040552456","0","0","0"
"H1","0","0","0","-0.00542221989323118","0","0","0"
"H1","0","0","0","-0.00808332736268288","0","0","0"
"H1","0","0","0","-0.00914554859997453","0","0","0"
"H1","0","0","0","-0.00848073131884251","0","0","0"
"H1","0","0","0","-0.00912231755378807","0","0","0"
"H1","0","0","0",NA,"0","0","0"
"H1","0","0","0","-0.00406404507512744","0","0","0"
"H1","0","0","0","-0.00303155664182561","0","0","0"
"H1","0","0","0","-0.0099371825320703","0","0","0"
"H1","0","0","0","-0.0094500472522821","0","0","0"
"H1","0","0","0","-0.00923605824698732","0","0","0"
"H1","0","0","0","-0.00919932677263848","0","0","0"
"H1","0","0","0","-0.0070341684462138","0","0","0"
"H1","0","0","0","-0.0102164113922854","0","0","0"
"H1","0","0","0","-0.00858529981450999","0","0","0"
"H1","0","0","0","-0.00766042074444068","0","0","0"
"H1","0","0","0","-0.00637480402905345","0","0","0"
"H1","0","0","0","-0.012245804593984","0","0","0"
"H1","0","0","0","-0.00427109842868407","0","0","0"
"H1","0","0","0",NA,"0","0","0"
"H1","0","0","0","0.000314302377415197","0","0","0"
"H1","0","0","0","-0.0083776590687018","0","0","0"
"H1","0","0","0","-0.0091685329219756","0","0","0"
"H1","0","0","0","-0.00419186326365001","0","0","0"
"H1","0","0","0","0.0010888077603858","0","0","0"
"H1","0","0","0","-0.00856327106419353","0","0","0"
"H1","0","0","0","-0.00554605537293314","0","0","0"
"H1","0","0","0","-0.0112240653716808","0","0","0"
"H1","0","0","0","-0.00728284292273773","0","0","0"
"H1","0","0","0","-0.00697196003108462","0","0","0"
"H1","0","0","0","-0.00797650830635086","0","0","0"
"H1","0","0","0","-0.00869291615251087","0","0","0"
"H1","0","0","0","-0.00463714473101326","0","0","0"
"H1","0","0","0","-0.00746967429551912","0","0","0"
"H1","0","0","0","-0.00431343908377698","0","0","0"
"H1","0","0","0","-0.00392373019084861","0","0","0"
"H1","0","0","0","-0.00608490833567518","0","0","0"
"H1","0","0","0","-0.00815060105095901","0","0","0"
"H1","0","0","0","-0.010285324293587","0","0","0"
"H1","0","0","0","-0.0057343615405607","0","0","0"
"H1","0","0","0","-0.0095800688147257","0","0","0"
"H1","0","0","0","-0.00767260614127049","0","0","0"
"H1","0","0","0","-0.00716285467943836","0","0","0"
"H1","0","0","0","-0.0126564260679817","0","0","0"
"H1","0","0","0","-0.00759420213816091","0","0","0"
"H1","0","0","0","-0.00848096950343853","0","0","0"
"H1","0","0","0","-0.00914909169759016","0","0","0"
"H1","0","0","0","-0.00348228223754074","0","0","0"
"H1","0","0","0","-0.00695402430631181","0","0","0"
"H1","0","0","0","-0.0110334323677798","0","0","0"
"H1","0","0","0","-0.013955971552204","0","0","0"
"H1","0","0","0","-0.00689406239969037","0","0","0"
"H1","0","0","0","-0.00777074414676894","0","0","0"
"H1","0","0","0","-0.0089001847921255","0","0","0"
"H1","0","0","0","-0.00718316988704076","0","0","0"
"H1","0","0","0","-0.00837962522076891","0","0","0"
"H1","0","0","0","-0.0100950757531061","0","0","0"
"H1","0","0","0","-0.00506529611669467","0","0","0"
"H1","0","0","0","-0.00522198033721166","0","0","0"
"H1","0","0","0","-0.00307893891117189","0","0","0"
"H1","0","0","0","-0.00651363686353093","0","0","0"
"H1","0","0","0","-0.00127982366292117","0","0","0"
"H1","0","0","0",NA,"0","0","0"
"H1","0","0","0","-0.00498014698479532","0","0","0"
"H1","0","0","0","-0.00413635618982546","0","0","0"
"H2","-50.4871156879512","0","0","-0.00566086179732042","0","0","-0.299029687736615"
"H2","-69.0350366444938","0","0","-0.011806708070756","0","0","-0.592599088968944"
"H2","-48.1724579934009","0","0","-0.00519413640373573","0","0","-0.270827219820438"
"H2","-68.8035929943779","0","0","-0.0118273219726186","0","0","-0.557643621391576"
"H2","-62.8649614452938","0","0","-0.0108923477096111","0","0","-0.490512690270138"
"H2","-67.1576785095072","0","0","-0.0116782986261233","0","0","-0.549563824028236"
