"Reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","LAI","Seagrass.C13"
"H1",NA,NA,NA,"-0.665756681695843",NA,NA,NA
"H1",NA,NA,NA,"-0.839076899448872",NA,NA,NA
"H1",NA,NA,NA,"-1.60916674249667",NA,NA,NA
"H1",NA,NA,NA,"-0.839463776044888",NA,NA,NA
"H1",NA,NA,NA,"-0.888663039457982",NA,NA,NA
"H1",NA,NA,NA,"-0.915751617284332",NA,NA,NA
"H1",NA,NA,NA,"-1.26525177965403",NA,NA,NA
"H1",NA,NA,NA,NA,NA,NA,NA
"H1",NA,NA,NA,"-1.60727929430494",NA,NA,NA
"H1",NA,NA,NA,"-1.44886084109437",NA,NA,NA
"H1",NA,NA,NA,"-0.753516477779049",NA,NA,NA
"H1",NA,NA,NA,"-0.794524928139347",NA,NA,NA
"H1",NA,NA,NA,NA,NA,NA,NA
"H1",NA,NA,NA,"-0.974382251332187",NA,NA,NA
"H1",NA,NA,NA,"-1.04165706604",NA,NA,NA
"H1",NA,NA,NA,"-0.698144147207377",NA,NA,NA
"H1",NA,NA,NA,"-0.754304815073079",NA,NA,NA
"H1",NA,NA,NA,"-1.44809672149906",NA,NA,NA
"H1",NA,NA,NA,"-0.71580672632204",NA,NA,NA
"H1",NA,NA,NA,"-0.83887139050587",NA,NA,NA
"H1",NA,NA,NA,"-0.717336787051711",NA,NA,NA
"H1",NA,NA,NA,"-0.774311094740389",NA,NA,NA
"H1",NA,NA,NA,"-0.774100680760048",NA,NA,NA
"H1",NA,NA,NA,"-1.32470701520473",NA,NA,NA
"H1",NA,NA,NA,"-1.21329343398993",NA,NA,NA
"H1",NA,NA,NA,"-0.816617978249464",NA,NA,NA
"H1",NA,NA,NA,"-1.12191533227391",NA,NA,NA
"H1",NA,NA,NA,"-1.38397025611409",NA,NA,NA
"H1",NA,NA,NA,"-0.944500136627884",NA,NA,NA
"H1",NA,NA,NA,"-0.889487794330437",NA,NA,NA
"H1",NA,NA,NA,"-0.945428817601769",NA,NA,NA
"H1",NA,NA,NA,"-0.863532923024663",NA,NA,NA
"H1",NA,NA,NA,"-2.04638769687859",NA,NA,NA
"H1",NA,NA,NA,"-1.38143852515042",NA,NA,NA
"H1",NA,NA,NA,"-1.12341600567975",NA,NA,NA
"H1",NA,NA,NA,"-1.38502780900586",NA,NA,NA
"H1",NA,NA,NA,"-1.00743324197517",NA,NA,NA
"H1",NA,NA,NA,"-1.00881208027939",NA,NA,NA
"H1",NA,NA,NA,"-0.944891600900125",NA,NA,NA
"H1",NA,NA,NA,"-0.889043257222154",NA,NA,NA
"H1",NA,NA,NA,NA,NA,NA,NA
"H1",NA,NA,NA,"-0.774323002251274",NA,NA,NA
"H1",NA,NA,NA,"-2.59512099174393",NA,NA,NA
"H1",NA,NA,NA,"-0.888423499458805",NA,NA,NA
"H1",NA,NA,NA,"-1.38249085045423",NA,NA,NA
"H1",NA,NA,NA,"-0.754116103993449",NA,NA,NA
"H1",NA,NA,NA,"-1.26370025310842",NA,NA,NA
"H1",NA,NA,NA,"-0.889241661156582",NA,NA,NA
"H1",NA,NA,NA,"-0.735098940588756",NA,NA,NA
"H1",NA,NA,NA,"-1.37941228633463",NA,NA,NA
"H1",NA,NA,NA,"-1.52439158977759",NA,NA,NA
"H1",NA,NA,NA,"-0.717050931572726",NA,NA,NA
"H1",NA,NA,NA,"-1.44614488811493",NA,NA,NA
"H1",NA,NA,NA,"-0.714690357241969",NA,NA,NA
"H1",NA,NA,NA,NA,NA,NA,NA
"H1",NA,NA,NA,"2.71530629463872",NA,NA,NA
"H1",NA,NA,NA,"-0.774085028714609",NA,NA,NA
"H1",NA,NA,NA,"-0.816158569717939",NA,NA,NA
"H1",NA,NA,NA,"-0.700342957236435",NA,NA,NA
"H1",NA,NA,NA,"2.46241011827977",NA,NA,NA
"H1",NA,NA,NA,"-0.794884105638205",NA,NA,NA
"H1",NA,NA,NA,"-0.754380462240198",NA,NA,NA
"H1",NA,NA,NA,"-1.60659976876661",NA,NA,NA
"H1",NA,NA,NA,"-1.60438144530471",NA,NA,NA
"H1",NA,NA,NA,"-1.37856810058768",NA,NA,NA
"H1",NA,NA,NA,"-1.69497888210884",NA,NA,NA
"H1",NA,NA,NA,"-0.839033366196496",NA,NA,NA
