"Reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","LAI"
"ES1","2.70707070707071","2.88888888888889","2.24242424242424","2.24242424242424","0","3.11111111111111"
"ES1","3.63636363636364","3.55555555555556","2.12626262626263","2.24242424242424","0","5.11111111111111"
"ES1","4.56565656565657","2.44444444444444","2.01010101010101","2.24242424242424","0","3.22222222222222"
"ES1","3.75252525252525","3.77777777777778","2.12626262626263","2.24242424242424","0","5.22222222222222"
"ES1","2.82323232323232","2.55555555555556","2.12626262626263","2.24242424242424","0","3.55555555555556"
"ES1","2.82323232323232","2.88888888888889","2.12626262626263","2.35858585858586","0","2.55555555555556"
"ES1","4.21717171717172","2.33333333333333","2.01010101010101","2.24242424242424","0","3.11111111111111"
"ES1","2.59090909090909","2.44444444444444","2.12626262626263","2.24242424242424","0","3.11111111111111"
"ES1","3.17171717171717","3","2.24242424242424","2.24242424242424","0","3.11111111111111"
"ES1","3.17171717171717","2.88888888888889","2.24242424242424","2.35858585858586","0","2.77777777777778"
"H1","0","0","0","2.59090909090909","0","0"
"H1","0","0","0","3.75252525252525","0","0"
"H1","0","0","0","5.14646464646465","0","0"
"H1","0","0","0","3.98484848484848","0","0"
"H1","0","0","0","2.82323232323232","0","0"
"H1","0","0","0","2.70707070707071","0","0"
"H1","0","0","0","4.7979797979798","0","0"
"H1","0","0","0","2.35858585858586","0","0"
"H1","0","0","0","3.28787878787879","0","0"
"H1","0","0","0","3.17171717171717","0","0"
"H2","2.24242424242424","0","0","2.35858585858586","0","0"
"H2","2.12626262626263","0","0","2.12626262626263","0","0"
"H2","2.12626262626263","0","0","2.24242424242424","0","0"
"H2","2.12626262626263","0","0","2.12626262626263","0","0"
"H2","2.12626262626263","0","0","2.24242424242424","0","0"
"H2","2.24242424242424","0","0","1.77777777777778","0","0"
"H2","2.12626262626263","0","0","2.12626262626263","0","0"
"H2","2.12626262626263","0","0","2.24242424242424","0","0"
"H2","2.24242424242424","0","0","2.35858585858586","0","0"
"H2","2.24242424242424","0","0","1.77777777777778","0","0"
"H3","2.35858585858586","2.66666666666667","0","2.35858585858586","2.24242424242424","0"
"H3","2.12626262626263","2.66666666666667","0","2.24242424242424","2.12626262626263","0"
"H3","2.12626262626263","2.66666666666667","0","2.35858585858586","2.12626262626263","0"
"H3","2.12626262626263","2.55555555555556","0","2.24242424242424","2.12626262626263","0"
"H3","2.24242424242424","2.66666666666667","0","1.77777777777778","2.12626262626263","0"
"H3","1.77777777777778","2.77777777777778","0","2.47474747474747","2.24242424242424","0"
"H3","2.12626262626263","2.77777777777778","0","2.24242424242424","2.12626262626263","0"
"H3","2.24242424242424","2.66666666666667","0","1.77777777777778","2.12626262626263","0"
"H3","2.35858585858586","2.66666666666667","0","2.35858585858586","2.24242424242424","0"
"H3","1.66161616161616","2.66666666666667","0","2.47474747474747","2.24242424242424","0"
"H4","2.24242424242424","0","0","2.01010101010101","2.35858585858586","0"
"H4","3.86868686868687","0","0","2.24242424242424","2.24242424242424","0"
"H4","4.68181818181818","0","0","1.66161616161616","2.24242424242424","0"
"H4","4.33333333333333","0","0","2.24242424242424","2.24242424242424","0"
"H4","2.59090909090909","0","0","1.66161616161616","2.24242424242424","0"
"H4","2.70707070707071","0","0","2.47474747474747","1.89393939393939","0"
"H4","3.98484848484848","0","0","1.77777777777778","2.24242424242424","0"
"H4","2.47474747474747","0","0","1.77777777777778","2.24242424242424","0"
"H4","3.05555555555556","0","0","1.89393939393939","2.35858585858586","0"
"H4","3.05555555555556","0","0","2.35858585858586","1.77777777777778","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H5","0","0","0","0","0","0"
"H6","1.66161616161616","0","0","2.24242424242424","0","0"
"H6","2.12626262626263","0","0","2.12626262626263","0","0"
"H6","2.12626262626263","0","0","2.12626262626263","0","0"
"H6","2.12626262626263","0","0","2.12626262626263","0","0"
"H6","2.24242424242424","0","0","2.12626262626263","0","0"
"H6","1.77777777777778","0","0","2.24242424242424","0","0"
"H6","2.01010101010101","0","0","2.12626262626263","0","0"
"H6","2.12626262626263","0","0","2.12626262626263","0","0"
"H6","2.35858585858586","0","0","2.12626262626263","0","0"
"H6","1.77777777777778","0","0","2.24242424242424","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"H8","0","0","0","0","0","0"
"LH1","2.35858585858586","0","2.24242424242424","2.24242424242424","0","0"
"LH1","2.24242424242424","0","3.52020202020202","2.12626262626263","0","0"
"LH1","2.24242424242424","0","4.91414141414141","2.24242424242424","0","0"
"LH1","2.24242424242424","0","4.33333333333333","2.12626262626263","0","0"
"LH1","2.24242424242424","0","1.89393939393939","2.24242424242424","0","0"
"LH1","1.77777777777778","0","2.47474747474747","2.24242424242424","0","0"
"LH1","2.24242424242424","0","3.98484848484848","2.24242424242424","0","0"
"LH1","2.24242424242424","0","2.12626262626263","2.24242424242424","0","0"
"LH1","2.35858585858586","0","2.35858585858586","2.24242424242424","0","0"
"LH1","1.77777777777778","0","2.70707070707071","2.24242424242424","0","0"
"LH2","1.77777777777778","2.33333333333333","0","1.89393939393939","0","2.33333333333333"
"LH2","2.24242424242424","2.77777777777778","0","2.35858585858586","0","2.77777777777778"
"LH2","2.35858585858586","2.88888888888889","0","1.89393939393939","0","2.88888888888889"
"LH2","2.24242424242424","2.77777777777778","0","2.35858585858586","0","2.77777777777778"
"LH2","2.35858585858586","2.88888888888889","0","1.77777777777778","0","2.88888888888889"
"LH2","2.01010101010101","2.55555555555556","0","2.35858585858586","0","2.44444444444444"
"LH2","2.35858585858586","2.77777777777778","0","2.01010101010101","0","2.77777777777778"
"LH2","1.66161616161616","2.88888888888889","0","1.89393939393939","0","2.88888888888889"
"LH2","1.77777777777778","2.44444444444444","0","1.89393939393939","0","2.33333333333333"
"LH2","1.89393939393939","2.55555555555556","0","2.12626262626263","0","2.44444444444444"
"LH3","1.89393939393939","2.88888888888889","0","2.24242424242424","2.12626262626263","2.55555555555556"
"LH3","2.24242424242424","2.77777777777778","0","2.24242424242424","2.12626262626263","3"
"LH3","2.35858585858586","2.77777777777778","0","2.24242424242424","2.12626262626263","5.66666666666667"
"LH3","2.24242424242424","2.77777777777778","0","2.24242424242424","2.12626262626263","3.33333333333333"
"LH3","2.35858585858586","2.77777777777778","0","2.24242424242424","2.12626262626263","2.66666666666667"
"LH3","2.35858585858586","2.88888888888889","0","2.24242424242424","2.12626262626263","2.33333333333333"
"LH3","2.35858585858586","2.66666666666667","0","2.24242424242424","2.12626262626263","4.66666666666667"
"LH3","1.66161616161616","2.77777777777778","0","2.24242424242424","2.12626262626263","2.33333333333333"
"LH3","1.89393939393939","2.88888888888889","0","2.24242424242424","2.12626262626263","2.33333333333333"
"LH3","2.24242424242424","2.88888888888889","0","2.24242424242424","2.12626262626263","2.88888888888889"
"MOW1","2.12626262626263","0","2.12626262626263","2.35858585858586","2.24242424242424","0"
"MOW1","4.1010101010101","0","3.52020202020202","2.24242424242424","2.12626262626263","0"
"MOW1","5.14646464646465","0","4.91414141414141","2.35858585858586","2.12626262626263","0"
"MOW1","5.03030303030303","0","4.44949494949495","2.24242424242424","2.12626262626263","0"
"MOW1","1.89393939393939","0","1.89393939393939","2.35858585858586","2.12626262626263","0"
"MOW1","2.47474747474747","0","2.47474747474747","1.77777777777778","2.24242424242424","0"
"MOW1","4.33333333333333","0","4.1010101010101","2.35858585858586","2.12626262626263","0"
"MOW1","2.35858585858586","0","2.12626262626263","2.35858585858586","2.12626262626263","0"
"MOW1","2.01010101010101","0","2.01010101010101","2.35858585858586","2.12626262626263","0"
"MOW1","2.82323232323232","0","2.70707070707071","1.77777777777778","2.24242424242424","0"
"MOW2","2.24242424242424","0","2.24242424242424","2.35858585858586","2.24242424242424","0"
"MOW2","2.12626262626263","0","2.12626262626263","2.35858585858586","2.12626262626263","0"
"MOW2","2.24242424242424","0","2.24242424242424","2.12626262626263","2.24242424242424","0"
"MOW2","2.12626262626263","0","2.12626262626263","2.35858585858586","2.12626262626263","0"
"MOW2","2.24242424242424","0","2.24242424242424","1.89393939393939","2.24242424242424","0"
"MOW2","2.24242424242424","0","2.35858585858586","2.47474747474747","2.24242424242424","0"
"MOW2","2.24242424242424","0","2.24242424242424","2.35858585858586","2.12626262626263","0"
"MOW2","2.24242424242424","0","2.24242424242424","2.24242424242424","2.24242424242424","0"
"MOW2","2.24242424242424","0","2.24242424242424","2.35858585858586","2.24242424242424","0"
"MOW2","2.24242424242424","0","2.24242424242424","2.47474747474747","2.24242424242424","0"
"MOW3","0","0","2.24242424242424","2.01010101010101","0","0"
"MOW3","0","0","2.12626262626263","4.21717171717172","0","0"
"MOW3","0","0","2.12626262626263","4.91414141414141","0","0"
"MOW3","0","0","2.12626262626263","4.68181818181818","0","0"
"MOW3","0","0","2.24242424242424","2.59090909090909","0","0"
"MOW3","0","0","2.24242424242424","2.70707070707071","0","0"
"MOW3","0","0","2.01010101010101","4.21717171717172","0","0"
"MOW3","0","0","2.12626262626263","2.59090909090909","0","0"
"MOW3","0","0","2.24242424242424","3.4040404040404","0","0"
"MOW3","0","0","2.24242424242424","3.17171717171717","0","0"
