"Reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","LAI","Seagrass.C13"
"H1","0","0","0","5.61111111111111","0","0","0"
"H1","0","0","0","4.56565656565657","0","0","0"
"H1","0","0","0","2.59090909090909","0","0","0"
"H1","0","0","0","4.56565656565657","0","0","0"
"H1","0","0","0","4.33333333333333","0","0","0"
"H1","0","0","0","4.21717171717172","0","0","0"
"H1","0","0","0","3.17171717171717","0","0","0"
"H1","0","0","0","0","0","0","0"
"H1","0","0","0","2.59090909090909","0","0","0"
"H1","0","0","0","2.82323232323232","0","0","0"
"H1","0","0","0","5.03030303030303","0","0","0"
"H1","0","0","0","4.7979797979798","0","0","0"
"H1","0","0","0","0","0","0","0"
"H1","0","0","0","3.98484848484848","0","0","0"
"H1","0","0","0","3.75252525252525","0","0","0"
"H1","0","0","0","5.37878787878788","0","0","0"
"H1","0","0","0","5.03030303030303","0","0","0"
"H1","0","0","0","2.82323232323232","0","0","0"
"H1","0","0","0","5.26262626262626","0","0","0"
"H1","0","0","0","4.56565656565657","0","0","0"
"H1","0","0","0","5.26262626262626","0","0","0"
"H1","0","0","0","4.91414141414141","0","0","0"
"H1","0","0","0","4.91414141414141","0","0","0"
"H1","0","0","0","3.05555555555556","0","0","0"
"H1","0","0","0","3.28787878787879","0","0","0"
"H1","0","0","0","4.68181818181818","0","0","0"
"H1","0","0","0","3.52020202020202","0","0","0"
"H1","0","0","0","2.93939393939394","0","0","0"
"H1","0","0","0","4.1010101010101","0","0","0"
"H1","0","0","0","4.33333333333333","0","0","0"
"H1","0","0","0","4.1010101010101","0","0","0"
"H1","0","0","0","4.44949494949495","0","0","0"
"H1","0","0","0","2.12626262626263","0","0","0"
"H1","0","0","0","2.93939393939394","0","0","0"
"H1","0","0","0","3.52020202020202","0","0","0"
"H1","0","0","0","2.93939393939394","0","0","0"
"H1","0","0","0","3.86868686868687","0","0","0"
"H1","0","0","0","3.86868686868687","0","0","0"
"H1","0","0","0","4.1010101010101","0","0","0"
"H1","0","0","0","4.33333333333333","0","0","0"
"H1","0","0","0","0","0","0","0"
"H1","0","0","0","4.91414141414141","0","0","0"
"H1","0","0","0","1.77777777777778","0","0","0"
"H1","0","0","0","4.33333333333333","0","0","0"
"H1","0","0","0","2.93939393939394","0","0","0"
"H1","0","0","0","5.03030303030303","0","0","0"
"H1","0","0","0","3.17171717171717","0","0","0"
"H1","0","0","0","4.33333333333333","0","0","0"
"H1","0","0","0","5.14646464646465","0","0","0"
"H1","0","0","0","2.93939393939394","0","0","0"
"H1","0","0","0","2.70707070707071","0","0","0"
"H1","0","0","0","5.26262626262626","0","0","0"
"H1","0","0","0","2.82323232323232","0","0","0"
"H1","0","0","0","5.26262626262626","0","0","0"
"H1","0","0","0","0","0","0","0"
"H1","0","0","0","1.66161616161616","0","0","0"
"H1","0","0","0","4.91414141414141","0","0","0"
"H1","0","0","0","4.68181818181818","0","0","0"
"H1","0","0","0","5.37878787878788","0","0","0"
"H1","0","0","0","1.77777777777778","0","0","0"
"H1","0","0","0","4.7979797979798","0","0","0"
"H1","0","0","0","5.03030303030303","0","0","0"
"H1","0","0","0","2.59090909090909","0","0","0"
"H1","0","0","0","2.59090909090909","0","0","0"
"H1","0","0","0","2.93939393939394","0","0","0"
"H1","0","0","0","2.47474747474747","0","0","0"
"H1","0","0","0","4.56565656565657","0","0","0"
"H1","0","0","0","2.47474747474747","0","0","0"
"H1","0","0","0","5.37878787878788","0","0","0"
"H1","0","0","0","2.70707070707071","0","0","0"
"H1","0","0","0","4.33333333333333","0","0","0"
"H1","0","0","0","4.56565656565657","0","0","0"
"H1","0","0","0","3.28787878787879","0","0","0"
"H1","0","0","0","3.4040404040404","0","0","0"
"H1","0","0","0","4.44949494949495","0","0","0"
"H1","0","0","0","5.14646464646465","0","0","0"
"H1","0","0","0","4.21717171717172","0","0","0"
"H1","0","0","0","3.05555555555556","0","0","0"
"H1","0","0","0","2.59090909090909","0","0","0"
"H1","0","0","0","4.33333333333333","0","0","0"
"H1","0","0","0","3.4040404040404","0","0","0"
"H1","0","0","0","3.4040404040404","0","0","0"
"H1","0","0","0","5.37878787878788","0","0","0"
"H1","0","0","0","3.28787878787879","0","0","0"
"H1","0","0","0","2.70707070707071","0","0","0"
"H1","0","0","0","3.05555555555556","0","0","0"
"H1","0","0","0","3.17171717171717","0","0","0"
"H1","0","0","0","3.4040404040404","0","0","0"
"H1","0","0","0","5.26262626262626","0","0","0"
"H1","0","0","0","3.75252525252525","0","0","0"
"H1","0","0","0","3.05555555555556","0","0","0"
"H1","0","0","0","3.4040404040404","0","0","0"
"H1","0","0","0","4.56565656565657","0","0","0"
"H1","0","0","0","2.59090909090909","0","0","0"
"H1","0","0","0","4.56565656565657","0","0","0"
"H1","0","0","0","3.86868686868687","0","0","0"
"H1","0","0","0","1.89393939393939","0","0","0"
"H1","0","0","0","0","0","0","0"
"H1","0","0","0","2.93939393939394","0","0","0"
"H1","0","0","0","5.49494949494949","0","0","0"
"H2","1.89393939393939","0","0","4.21717171717172","0","0","3.28787878787879"
"H2","2.24242424242424","0","0","2.47474747474747","0","0","1.89393939393939"
"H2","1.77777777777778","0","0","4.7979797979798","0","0","3.52020202020202"
"H2","2.35858585858586","0","0","2.59090909090909","0","0","2.35858585858586"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.35858585858586","0","0","2.59090909090909","0","0","2.35858585858586"
"H2","2.24242424242424","0","0","2.59090909090909","0","0","2.35858585858586"
"H2","2.12626262626263","0","0","2.12626262626263","0","0","2.12626262626263"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","2.24242424242424"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.35858585858586","0","0","2.82323232323232","0","0","2.59090909090909"
"H2","1.89393939393939","0","0","2.93939393939394","0","0","2.59090909090909"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","2.24242424242424"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.12626262626263"
"H2","2.24242424242424","0","0","2.47474747474747","0","0","2.24242424242424"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.47474747474747","0","0","2.01010101010101"
"H2","2.24242424242424","0","0","1.66161616161616","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","1.89393939393939","0","0","2.35858585858586"
"H2","2.24242424242424","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","2.24242424242424"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.47474747474747","0","0","1.89393939393939"
"H2","2.12626262626263","0","0","2.12626262626263","0","0","2.12626262626263"
"H2","2.24242424242424","0","0","1.66161616161616","0","0","2.24242424242424"
"H2","2.35858585858586","0","0","3.05555555555556","0","0","2.59090909090909"
"H2","2.24242424242424","0","0","1.89393939393939","0","0","1.66161616161616"
"H2","2.35858585858586","0","0","5.14646464646465","0","0","4.33333333333333"
"H2","2.24242424242424","0","0","2.70707070707071","0","0","2.47474747474747"
"H2","2.12626262626263","0","0","5.03030303030303","0","0","4.1010101010101"
"H2","2.24242424242424","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.59090909090909","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","1.89393939393939"
"H2","2.24242424242424","0","0","2.12626262626263","0","0","1.77777777777778"
"H2","2.24242424242424","0","0","2.82323232323232","0","0","2.47474747474747"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","2.24242424242424"
"H2","2.12626262626263","0","0","2.12626262626263","0","0","2.12626262626263"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.82323232323232","0","0","5.61111111111111","0","0","5.26262626262626"
"H2","2.24242424242424","0","0","3.28787878787879","0","0","2.70707070707071"
"H2","2.35858585858586","0","0","5.49494949494949","0","0","4.21717171717172"
"H2","2.35858585858586","0","0","2.47474747474747","0","0","2.12626262626263"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","1.89393939393939"
"H2","2.24242424242424","0","0","1.89393939393939","0","0","2.35858585858586"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","1.89393939393939"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","2.24242424242424"
"H2","1.89393939393939","0","0","3.05555555555556","0","0","2.70707070707071"
"H2","1.77777777777778","0","0","3.28787878787879","0","0","2.70707070707071"
"H2","2.35858585858586","0","0","2.93939393939394","0","0","2.59090909090909"
"H2","2.24242424242424","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","1.77777777777778","0","0","2.35858585858586"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","2.24242424242424"
"H2","2.59090909090909","0","0","0","0","0","5.49494949494949"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.12626262626263","0","0","2.12626262626263","0","0","2.12626262626263"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.12626262626263"
"H2","2.24242424242424","0","0","2.12626262626263","0","0","1.77777777777778"
"H2","2.24242424242424","0","0","2.59090909090909","0","0","2.35858585858586"
"H2","2.12626262626263","0","0","2.12626262626263","0","0","2.12626262626263"
"H2","2.24242424242424","0","0","2.47474747474747","0","0","1.89393939393939"
"H2","2.01010101010101","0","0","3.52020202020202","0","0","2.93939393939394"
"H2","1.89393939393939","0","0","3.52020202020202","0","0","2.93939393939394"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","1.89393939393939"
"H2","2.01010101010101","0","0","2.01010101010101","0","0","2.01010101010101"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","1.89393939393939"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","1.89393939393939","0","0","1.66161616161616"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.24242424242424","0","0","1.77777777777778"
"H2","2.59090909090909","0","0","5.37878787878788","0","0","4.7979797979798"
"H2","2.01010101010101","0","0","3.05555555555556","0","0","2.70707070707071"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.47474747474747","0","0","1.89393939393939"
"H2","2.59090909090909","0","0","4.56565656565657","0","0","3.98484848484848"
"H2","2.24242424242424","0","0","2.47474747474747","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.01010101010101","0","0","1.77777777777778"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.01010101010101","0","0","3.63636363636364","0","0","2.93939393939394"
"H2","2.24242424242424","0","0","2.35858585858586","0","0","1.89393939393939"
"H2","2.24242424242424","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","2.47474747474747","0","0","2.01010101010101"
"H2","2.24242424242424","0","0","2.47474747474747","0","0","2.12626262626263"
"H2","2.24242424242424","0","0","1.89393939393939","0","0","2.35858585858586"
"H2","1.89393939393939","0","0","3.52020202020202","0","0","2.82323232323232"
"H2","2.24242424242424","0","0","2.24242424242424","0","0","1.77777777777778"
"H2","2.24242424242424","0","0","2.47474747474747","0","0","2.12626262626263"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","1.66161616161616","0","0","3.28787878787879","0","0","2.82323232323232"
"H2","2.35858585858586","0","0","3.28787878787879","0","0","2.70707070707071"
"H2","2.24242424242424","0","0","2.82323232323232","0","0","2.47474747474747"
"H2","2.35858585858586","0","0","5.49494949494949","0","0","4.21717171717172"
"H2","2.12626262626263","0","0","2.24242424242424","0","0","2.24242424242424"
"H2","2.24242424242424","0","0","1.89393939393939","0","0","2.35858585858586"
"H2","2.47474747474747","0","0","4.7979797979798","0","0","4.21717171717172"
"H3","4.68181818181818","2.44444444444444","0","4.91414141414141","2.24242424242424","0","0"
"H3","2.47474747474747","2.77777777777778","0","2.82323232323232","2.24242424242424","0","0"
"H3","5.49494949494949","2.33333333333333","0","5.37878787878788","2.24242424242424","0","0"
"H3","2.70707070707071","2.77777777777778","0","3.17171717171717","2.24242424242424","0","0"
"H3","2.24242424242424","2.77777777777778","0","1.66161616161616","2.12626262626263","0","0"
"H3","2.59090909090909","2.77777777777778","0","3.05555555555556","2.24242424242424","0","0"
"H3","2.70707070707071","2.77777777777778","0","3.4040404040404","2.24242424242424","0","0"
"H3","2.01010101010101","2.77777777777778","0","2.12626262626263","2.12626262626263","0","0"
