"Reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","LAI"
"ES1","-0.165205085127004","0","-1.1798212133019","0",NA,"309379.69825815"
"ES1","-0.195035661216684","0","-1.33020351579193","0",NA,"278597.989942841"
"ES1","-0.231074080133616","0.0566275567430145","-1.69757923097169","-0.0343104311442215",NA,"192228.642293649"
"H1",NA,NA,NA,"-0.00564325982120067",NA,NA
"H1",NA,NA,NA,"-0.00740920437103724",NA,NA
"H1",NA,NA,NA,"-0.00793204491893897",NA,NA
"H2","-2.45586358081875",NA,NA,"-0.0113067505653723",NA,NA
"H2","-2.80041601883267",NA,NA,"-0.0128121201550949",NA,NA
"H2","-3.30695525601029",NA,NA,"-0.0160796466961169",NA,NA
"H3","-1.28438135801269","-0.274446945021227",NA,"0","-0.251621050986809",NA
"H3","0","-0.195634514044342",NA,"-0.0216565755819999","-0.27498447008995",NA
"H3","-1.84921305548488","-0.256126819230071",NA,"-0.0270396914805023","-0.299677063206393",NA
"H4","-0.920454835592236",NA,NA,"0","0",NA
"H4","-0.679979762830341",NA,NA,"-0.0130742644372342","0",NA
"H4","-0.662809402795775",NA,NA,"-0.016219345748598","-0.151666452573055",NA
"H5",NA,NA,NA,NA,NA,NA
"H5",NA,NA,NA,NA,NA,NA
"H5",NA,NA,NA,NA,NA,NA
"H6","-0.525054481377294",NA,NA,"-0.0167836683766261",NA,NA
"H6","0",NA,NA,"-0.0189429746874557",NA,NA
"H6","-0.773106812442406",NA,NA,"-0.0231513612228411",NA,NA
"H8",NA,NA,NA,NA,NA,NA
"H8",NA,NA,NA,NA,NA,NA
"H8",NA,NA,NA,NA,NA,NA
"LH1","-0.940917022400224",NA,"-1.12352849857854","-0.0354921098507657",NA,NA
"LH1","0",NA,"0","0",NA,NA
"LH1","-1.33988231738759",NA,"-0.811408826549301","-0.0430874583252188",NA,NA
"LH2","0","-0.135082558345684",NA,"-0.035990615709396",NA,"-557157.633650881"
"LH2","-1.74376457542702","0",NA,"-0.0363252443569622",NA,"-617891.93132252"
"LH2","-1.85207568611203","-0.188005762560536",NA,"0",NA,"-779053.775014645"
"LH3","0","-0.0565484329660503",NA,"-0.0241588367326147","-0.185738978661276","-87378.9251206909"
"LH3","-0.488493038728671","-0.0635859191694482",NA,"0","-0.203891859638165","-62513.0866069571"
"LH3","-0.559440649951947","-0.0833529071468793",NA,"-0.0281740607019693","-0.242328116458081","-73398.1216617582"
"MOW1","-0.305319650309161",NA,"-0.516877590963049","0","-0.152834129149275",NA
"MOW1","0",NA,"0","-0.030097280516269","-0.173369362184825",NA
"MOW1","0",NA,"-0.394099030183329","-0.0334449277593815","-0.213450393027352",NA
"MOW2","-0.66124806989173",NA,"-1.9279346107763","-0.0211153355541494","-0.243127006622072",NA
"MOW2","-0.709567881672577",NA,"0","-0.0213506859440996","-0.267028104596336",NA
"MOW2","-0.813991613007128",NA,"-2.47958399935683","0","-0.313934434412515",NA
"MOW3",NA,NA,"-0.87668984058322","-0.0082397491505789",NA,NA
"MOW3",NA,NA,"0","-0.00675264757878307",NA,NA
"MOW3",NA,NA,"-1.32879168444548","-0.00675767225912074",NA,NA
