"Reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","LAI"
"ES1","3.82552919155629","0","2.05149685051752","0",NA,"3.17379856422963"
"ES1","4.64430513005916","0","2.17660010616349","0",NA,"2.93043296564891"
"ES1","4.17650677264617","3.26522160510915","2.06462888713842","2.19592561985379",NA,"4.27316996726869"
"H1",NA,NA,NA,"3.59135774057554",NA,NA
"H1",NA,NA,NA,"4.95956273055429",NA,NA
"H1",NA,NA,NA,"4.64135324480799",NA,NA
"H2","2.16655498026891",NA,NA,"2.19149253810856",NA,NA
"H2","2.19706762742708",NA,NA,"2.33067158171489",NA,NA
"H2","2.10259468269956",NA,NA,"2.16438732621286",NA,NA
"H3","2.16825521782853","2.71721577226735",NA,"0","2.16602059927442",NA
"H3","0","2.71610214627922",NA,"2.42905879617923","2.19100856640502",NA
"H3","2.10140559018113","2.62399893430291",NA,"2.20774849834415","2.1569730408124",NA
"H4","3.46266290020257",NA,NA,"0","0",NA
"H4","4.96861217925258",NA,NA,"2.39436089287696","0",NA
"H4","4.75816992488755",NA,NA,"2.20836835632513","2.18501764137083",NA
"H5",NA,NA,NA,NA,NA,NA
"H5",NA,NA,NA,NA,NA,NA
"H5",NA,NA,NA,NA,NA,NA
"H6","2.099922773076",NA,NA,"2.09560298792898",NA,NA
"H6","0",NA,NA,"2.18941895470355",NA,NA
"H6","2.09671444500305",NA,NA,"2.08292657774512",NA,NA
"H8",NA,NA,NA,NA,NA,NA
"H8",NA,NA,NA,NA,NA,NA
"H8",NA,NA,NA,NA,NA,NA
"LH1","2.27035924004203",NA,"3.3515229585923","2.20391612332231",NA,NA
"LH1","0",NA,"0","0",NA,NA
"LH1","2.19483326618478",NA,"5.06824754935292","2.18126822888816",NA,NA
"LH2","0","2.83484972800716",NA,"1.84743478937764",NA,"2.82701805293884"
"LH2","1.86430229683505","0",NA,"2.16763723953799",NA,"2.97442592549832"
"LH2","2.21050452040316","2.81361367977944",NA,"0",NA,"2.80744046297192"
"LH3","0","2.70978891777436",NA,"2.20580009882602","2.07745090984241","3.94508710664995"
"LH3","2.07542374731894","2.83109062920237",NA,"0","2.1572174989407","6.18625101146832"
"LH3","2.20357210880167","2.71411678454649",NA,"2.18795548337233","2.0707614401148","6.16769254251604"
"MOW1","3.69460179130261",NA,"3.45160231259428","0","2.0869935828639",NA
"MOW1","0",NA,"0","2.39646984866191","2.18285756140709",NA
"MOW1","0",NA,"5.0935191715747","2.27127628502992","2.0765063688989",NA
"MOW2","2.18843483844242",NA,"2.19569227037611","2.06189925134233","2.18258759004313",NA
"MOW2","2.27060777427788",NA,"0","2.51144562423303","2.27037835139506",NA
"MOW2","2.16966010125085",NA,"2.16937788368946","0","2.16398793109981",NA
"MOW3",NA,NA,"2.07708225603257","3.79185584350261",NA,NA
"MOW3",NA,NA,"0","5.17948883917456",NA,NA
"MOW3",NA,NA,"2.07623215377256","4.9937243571391",NA,NA
