"","reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","Mean.length"
"1","ES1","-0.166763411064186",NA,NA,"-0.0107164282983625",NA,NA
"2","H1",NA,NA,NA,"-0.0023909694594421",NA,NA
"3","H2",NA,NA,NA,"-0.00214960962620249",NA,NA
"4","H3","-0.512884279352732",NA,NA,"-0.00872503072104716","-0.0370120010992163",NA
"5","H4","-0.372695549283877",NA,NA,NA,"-0.022397021484421",NA
"6","H5",NA,NA,NA,NA,NA,NA
"7","H6","-0.17713917993292","-0.0162958187137705",NA,NA,NA,NA
"8","H8",NA,NA,NA,NA,NA,NA
"9","LH1","-0.236839084189002",NA,"-0.535729973515246","-0.00728530711654857",NA,"-8.12683140190904"
"10","LH2","-0.386821342413454","-0.0350341760348749",NA,"-0.0113325986394711",NA,"-15.1748384363024"
"11","LH3","-0.138715441094147","-0.0154749626855634",NA,"-0.00368416796685693",NA,"-2.99643671684643"
"12","MOW1","-0.149215440968555",NA,"-0.28143801479718","-0.00831893766829542",NA,"-2.91921683173134"
"13","MOW2","-0.0921735856716709",NA,"-0.469447614538282","-0.00732436818995733",NA,NA
"14","MOW3",NA,NA,"-0.263438799714362","-0.00460142701811997",NA,NA
