"","reef","Shoot.growth","C.production","SLA","Seagrass.P","Seagrass.N","Mean.length"
"1","ES1","5.37878787878788",NA,NA,"5.37878787878788",NA,NA
"2","H1",NA,NA,NA,"8.57575757575758",NA,NA
"3","H2",NA,NA,NA,"8.57575757575758",NA,NA
"4","H3","8.57575757575758",NA,NA,"8.57575757575758","8.57575757575758",NA
"5","H4","8.57575757575758",NA,NA,NA,"8.57575757575758",NA
"6","H5",NA,NA,NA,NA,NA,NA
"7","H6","8.57575757575758","8.86868686868687",NA,NA,NA,NA
"8","H8",NA,NA,NA,NA,NA,NA
"9","LH1","8.57575757575758",NA,"8.57575757575758","8.57575757575758",NA,"8.57575757575758"
"10","LH2","8.57575757575758","8.86868686868687",NA,"8.57575757575758",NA,"8.57575757575758"
"11","LH3","8.57575757575758","8.86868686868687",NA,"8.57575757575758",NA,"8.57575757575758"
"12","MOW1","8.57575757575758",NA,"8.57575757575758","8.57575757575758",NA,"8.57575757575758"
"13","MOW2","8.57575757575758",NA,"8.57575757575758","8.57575757575758",NA,NA
"14","MOW3",NA,NA,"8.57575757575758","8.57575757575758",NA,NA
